Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.9729E-05,-0.0018423,0.0040423,0,0,0,4.0725,0.011094,-9.8724E-06,-3.3877E-06,0.0067398,5.9794E-05,0.0099968,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/base_link.STL,,a01_torso-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pelvis_link,-0.000653168171878216,0.000202901599963046,0.0358808578163774,0,0,0,2.18597276276807,0.00340799392796045,-5.27404358015931E-07,3.53216953286832E-05,0.00424616615014973,8.46691439587506E-07,0.00475970108323435,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/pelvis_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/pelvis_link.STL,,a02_pelvis-1,pelvis_link,torso_yaw_axis,torso_yaw_joint,revolute,0,0,-0.24162,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_hip_r_link,0.0011676,0.0044608,-0.00068061,0,0,0,0.8558,0.0014223,7.5943E-06,2.7099E-06,0.00090391,-9.4991E-06,0.000835,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_hip_r_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_hip_r_link.STL,,a03_hip_roll_r-1,R_hip_r_link,hip_pitch_axis,R_hip_pitch_joint,revolute,0,-0.1159,0,0,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
R_hip_y_link,-0.0019326,-0.00037297,-0.084368,0,0,0,0.91776,0.0012719,-1.3E-05,5.1455E-05,0.0015267,1.7107E-05,0.0015116,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_hip_y_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_hip_y_link.STL,,a03_hip_yaw_r-1,R_hip_r_link,R_hip_roll_axis,R_hip_roll_joint,revolute,0,0,0,0,0,0,R_hip_r_link,1,0,0,0,0,0,0,,,,,,,,
R_thigh_link,-0.0043524,-0.0041632,-0.0039421,0,0,0,1.3747,0.0037051,3.4405E-05,-0.00016955,0.0039229,-9.6905E-05,0.0023114,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_thigh_link.STL,,a04_thigh_r-1,R_thigh_link,R_hip_yaw_axis,R_hip_yaw_joint,revolute,0,0,-0.21175,0,0,0,R_hip_y_link,0,0,1,0,0,0,0,,,,,,,,
R_calf_link,-0.00421444288490647,0.00175538374686454,-0.0169093460368692,0,0,0,1.17074722834553,0.00171475366408221,1.21634495115775E-05,1.29104743847128E-05,0.00205284117205138,-3.91070962256474E-05,0.00082226361600516,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_calf_link.STL,,a05_calf_r-1,R_calf_link,R_knee_pitch_axis,R_knee_pitch_joint,revolute,0.00020757,-0.00015,-0.158,0,0,0,R_thigh_link,0,-1,0,0,0,0,0,,,,,,,,
R_ankle_link,-2.66453525910038E-15,2.77555756156289E-17,-7.07699960694752E-05,0,0,0,0.0236524344915325,2.14621271212166E-06,1.00084600834964E-22,1.30995379297544E-16,5.2598431858044E-06,-1.76283693796845E-19,5.68025550439875E-06,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_ankle_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_ankle_link.STL,,p05_universal_joint-1,R_ankle_link,R_ankle_pitch_axis,R_ankle_pitch_joint,revolute,0,0.00015,-0.2,0,0,0,R_calf_link,0,-1,0,0,0,0,0,,,,,,,,
R_foot_link,0.00281002392594654,-8.30484570002454E-10,0.0132555685454062,0,0,0,0.359946548475121,0.000172849957125141,1.38491242777396E-10,4.71243721626092E-06,0.000707347286151241,-2.38539533791978E-11,0.000833012227059178,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_foot_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/R_foot_link.STL,,a05_foot-1,R_foot_link,R_ankle_roll_axis,R_ankle_roll_joint,revolute,0,0,-0.038,0,0,0,R_ankle_link,1,0,0,0,0,0,0,,,,,,,,
L_hip_r_link,0.0011676,-0.0044253,-0.00065623,0,0,0,0.8558,0.0014223,-7.8855E-06,2.8091E-06,0.00090391,8.4645E-06,0.000835,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/L_hip_r_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/L_hip_r_link.STL,,a03_hip_roll_l-1,L_hip_r_link,hip_pitch_axis,L_hip_pitch_joint,revolute,0,0.1165,0,0,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
L_hip_y_link,-0.0019325,0.000177,-0.085754,0,0,0,0.91776,0.0012719,6.5681E-06,5.1456E-05,0.0015267,-1.623E-05,0.0015116,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/L_hip_y_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB v1.2 urdf/meshes/L_hip_y_link.STL,,a03_hip_yaw_l-1,L_hip_y_link,L_hip_roll_axis,L_hip_roll_joint,revolute,0,0,0,0,0,0,L_hip_r_link,1,0,0,0,0,0,0,,,,,,,,
