Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.219E-06,2.715E-05,-0.00097139,0,0,0,2.675,0.027769,1.956E-05,-3.771E-05,0.024206,0.00042342,0.0099354,0,0,0,0,0,0,package://QUB_pkgs/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/base_link.STL,,torso-1/p01_battery_holderstep-1;torso-1/m01_nucstep-1;torso-1/m01_green_works_40vstep-1;torso-1/profile 100-3;torso-1/profile 160-3;torso-1/profile 100-4;torso-1/profile 200-2;torso-1/profile 160-4;torso-1/profile 280-1;torso-1/profile 280-4;torso-1/profile 280-2;torso-1/profile 280-3;torso-1/p01_nuc_coverstep-1;torso-1/profile 200-1;torso-1/p01_nuc_torso_mount.step-1;torso-1/p01_nuc_cable_cover_rstep-1;torso-1/profile 160-1;torso-1/p01_nuc_cable_cover_lstep-1;torso-1/p01_nuc_cable_cover_cap step-1;torso-1/profile 160-2;torso-1/p01_torso_board.step-1;p0_torso_motor_capstep-1,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Torso_yaw,-0.0001972,9.1312E-05,-0.057232,0,0,0,3.6025,0.01175536,4.1E-07,-0.00010021,0.01135089,2.055E-05,0.00725972,0,0,0,0,0,0,package://QUB_pkgs/meshes/Torso_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/Torso_yaw.STL,,p02_torso_yaw_mountstep-1;p02_hip_pitch_coverstep-1;p02_hip_pitch_motor_mountstep-1;RS03 simple_defeature-7;RS03 simple_defeature-1;RS03 simple_defeature-2;p02_rs03_mountstep-1,좌표계31,기준축26,Torso_yaw_joint,revolute,-0.00014811,0.0032987,-0.14636,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R_Hip_pitch,0.00754712,-0.0801657,0.00028105,0,0,0,1.212,0.00185503,-2.088E-05,-2.58E-06,0.00132312,1.32E-05,0.00132641,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_pitch.STL,,06 RS03 horn - HR-3;RS03 simple_defeature-3;04 hip roll front ver.2-1;05 hip roll back ver.5-1,좌표계16,기준축1,R_Hip_pitch_joint,revolute,0,-0.035605,-0.091005,0,0,-0.032636,Torso_yaw,-0.032631,0.99947,0,0,0,0,0,,,,,,,,
R_Hip_roll,-0.0141749,-0.0006353,-0.09346984,0,0,0,1.332,0.00239371,9.42E-06,-0.00010625,0.00262772,-2.75E-05,0.00195476,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_roll.STL,,07 hip roll - yaw ver.3-1;08 hip yaw mount ver.2-1;RS03 simple_defeature-5;06 RS03 horn - HR-4,좌표계17,기준축14,R_Hip_roll_joint,revolute,0.015826,-0.083123,0,0,0,0,R_Hip_pitch,-0.99947,-0.032631,0,0,0,0,0,,,,,,,,
R_Hip_yaw,-0.00778543,-0.02028016,-0.10532737,0,0,0,1.98,0.00479973,5.498E-05,0.00010337,0.00481819,-3.02E-05,0.00367312,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Hip_yaw.STL,,10 thigh ver.2-1;RS04 simple_defeature-1,좌표계18,기준축15,R_Hip_yaw_joint,revolute,-0.013098,-0.00042763,-0.11149,0,0,0,R_Hip_roll,0,0,1,0,0,0,0,,,,,,,,
R_Thigh_pitch_1,0.01104107,0.04091338,0.01147801,0,0,0,0.1,5.531E-05,2.56E-06,1.93E-05,8.508E-05,1.28E-06,5.772E-05,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_1.STL,,13 knee action linkage ver.2-1,좌표계19,기준축16,R_Thigh_pitch_1_joint,revolute,-0.0088899,-0.027805,-0.10349,0,0,0,R_Hip_yaw,0.032631,-0.99947,0,0,0,0,0,,,,,,,,
R_Thigh_pitch_2,-0.0029573,-9.655E-05,-0.04648928,0,0,0,0.027,3.311E-05,1.6E-07,6.67E-06,3.786E-05,2.2E-07,5.05E-06,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_2.STL,,14 knee couple link ver.3.-1,좌표계20,기준축17,R_Thigh_pitch_2_joint,revolute,0.027137,0.043409,0.028027,0,0,0,R_Thigh_pitch_1,0.032631,-0.99947,0,0,0,0,0,,,,,,,,
R_Thigh_pitch_3,0.00264701,-0.02186719,-0.11300894,0,0,0,1.02,0.00523287,-1.277E-05,-0.00013544,0.00525577,2.22E-06,0.00101909,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_3.STL,,12 knee joint (RS02 mount) ver.3-1;16. calf R-3;15. calf L-3;RS02 simple_defeature-7,좌표계21,기준축18,R_Thigh_pitch_3_joint,revolute,-0.020244,-0.00066093,-0.089743,0,0,0,R_Thigh_pitch_2,0.032631,-0.99947,0,0,0,0,0,,,,,,,,
R_Thigh_pitch_4,0.03068291,-0.01379806,-0.08472467,0,0,0,1.02,0.00523287,-1.277E-05,-0.00013544,0.00525577,2.22E-06,0.00101909,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Thigh_pitch_4.STL,,12 knee joint (RS02 mount) ver.3-1;RS02 simple_defeature-7;16. calf R-3;15. calf L-3,좌표계22,기준축19,R_Thigh_pitch_4_joint,revolute,-0.028036,-0.0080691,-0.028284,0,0,0,R_Thigh_pitch_3,-0.032631,0.99947,0,0,0,0,0,,,,,,,,
R_Knee_pitch_L,-0.02274224,0.02132588,0,0,0,0,0.02119961,2.31E-06,1.58E-06,0,1.706E-05,0,1.607E-05,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Knee_pitch_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_pkgs/meshes/R_Knee_pitch_L.STL,,RS02 servo horn-6;rodend ball-13,좌표계23,기준축20,R_Knee_pitch_L_joint,revolute,0.029343,0.020618,-0.068,0,0,0,R_Thigh_pitch_4,-0.032631,0.99947,0,0,0,0,0,,,,,,,,
